Data,Judet,UAT,Metoda de interventie,Sex,Detalii referitoare la eveniment,Echipa de interventie,FC,Judet_relocare,lat,long,event_type,status_log,Nr_raport,Nr_identificare
2024-03-08,Prahova,ŞTEFEŞTI,Alungat,Mascul,"Apel 112, echipa a procedat la indepartarea animalului, un mascul de circa 4 ani","jandarmi, personal gestionar FC",PALTINET 35,,45.254918,25.889683,alungare,swapped,4150/08.03.2024,
,Argeș,LEREŞTI,Alungat,Mascul,Echipa de intervenție a constatat faptul că la domiciliul persoanei păgubite ursul a omorât un berbec și un miel cu care a plecat spre pădure. Echipa de intervenție a găsit ursul în grădina învecinată și a procedat la alungare.,"Primărie, Jandarmerie, Gestionarul fondului cinegetic",RAUL TARGULUI 18,,45.307621,25.069908,alungare,swapped,,
,Brașov,BRAŞOV,Altele,,"Fiind montată cușca de caturare de către echipa de intervenție în zona Vilele de aur din Poiana Brașov  s-a supravegheat zona. Ursul nu a apărut pe perioada supravegherii, dar s-a întocmit raport de eveniment nr.40434/11.03.2024.","Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,45.6517059902,25.6011289212,altele,,,
2024-03-12,Prahova,ŞTEFEŞTI,Alungat,Mascul,"Mascul de 5 ani gasit in gospodarie, a omorat si a luat o oaie, a parasit gospodaria la sosirea echipei","jandarmi, reprezentant UAT, personal gestionar FC",PALTINET 35,,45.247918,25.898171,alungare,swapped,790/12.03.2024,
2024-03-12,Prahova,AZUGA,Alungat,Femela cu pui,"La apel 112, echipa s-a deplasat la Spitalul de Ortopedie din Azuga, unde a gasit in curte ursoaica cu doi pui de 1 an, care au fost alungati in fondul forestier cu semnale acustice si luminoase","jandarmi, primar, reprezentant gestionar FC, medic veterinar",AZUGA 26,,45.426523,25.554186,alungare,swapped,4048/12.03.2024,
2024-03-14,Prahova,ŞTEFEŞTI,Eutanasiat,Mascul,"Mascul de  7 ani care a patruns repetat in gospodarii, omorand animale si fiind periculos, a fost alungat de mai multe ori, a fost capturat si eutanasiat","Jandarmerie, reprezentant UAT, medic veterinar, personal GFC",PALTINET 35,,45.249302,25.903594,eutanasiere,swapped,335/14.03.2024,020
2024-03-14,Brașov,BRAŞOV,Relocat,Femela,"În baza acordului de relocare nr.11/10.01.2024 de la RPLOS Bucegi-Piatra Craiului-Ciucaș RA s-a capturat din Poiana Brașov zona Vilele de aur, un exemplar de urs femelă de cca.3-4 ani. Exemplarul venea repetat în acea zonă și astfel a fost relocat în FC nr.27 Bran-Șimon.","Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",BRAN SIMON 27,,45.596704,25.560079,relocare,,42930,642098100342242
2024-03-16,Prahova,PLOIEŞTI,Alungat,Mascul,"Mascul de 6 ani prezent in municipiul Ploiesti, zona Rafinariei Vega si depoul de tramvaie, echipa s-a intrunit dupa apel la 112,  ursul a fost alungat in zona unei pepiniere si s-a monitorizat zona","jandarmi, primar, reprezentanti gestionar FC, medic veterinar",BERCENI 2,,44.963507,26.019994,alungare,swapped,527/16.03.2024,
2024-03-18,Prahova,AZUGA,Alungat,Femela cu pui,"Femela cu doi pui care vine repetat in curtea Spitalului de Ortopedie Azuga si este indepartata cu greutate in fondul forestier, dupa 40 minute, cu semnale acustice si luminoase","jandarmi, primar, reprezentant gestionar FC, medic veterinar",AZUGA 26,,45.426523,25.554186,alungare,swapped,4333/18.03.2024,
,Argeș,LEREŞTI,Alungat,,Apelantul a relatat că are în spatele casei mai multe oi și miei adăpostite în saivan. Ursul a pătruns și a luat o oaie și un miel. Echipa a gasit imprimate pe sol urmele ursului dar acesta dispăruse în pădure.,"Jandarmerie, Primărie, Gestionar fond cinegetic",RAUL TARGULUI 18,,45.212200,25.034900,alungare,swapped,,
,Argeș,LEREŞTI,Alungat,,In data de 15.03.2024 echipa a fost sesizată la ora 01 de catre un localnic despre prezenta unui urs in spatele casei.S-a procedat prin aplicarea de semnale acustice si luminoase. Nu au fost constatate pagube.,"Jandarmerie, Primărie, Gestionar fond cinegetic",RAUL TARGULUI 18,,45.212200,25.034900,alungare,swapped,,
,Brașov,SĂCELE,Altele,,Raport nr 1/18.03.2024(35680/19.03.2024- UAT Sacele)incheiat cu ocazia monitorizarii in vederea capturarii unui exemplar de urs la Spitalul Municipal Sacele,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,45.6177238841,25.6988969146,altele,,,
,Brașov,SĂCELE,Altele,,"Raport nr.2/19.03.2024 inregistrat cu nr. 36048/20.03.2024 la UAT Sacele, intocmit cu ocazia moniorizarii in vederea capturarii uni exemplar de urs la Spitalul Municipal Sacele. Ursul a venit in jurul orei 23 dar nu s-a apropiat de cusca, dupa prox 5 min s-a retras in padure.","Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,45.6177238841,25.6988969146,altele,,,
,Buzău,NEHOIU,Alungat,,A fost semnalată prezența unui urs in localitatea Mlăjet. La momentul intervenției ursul nu mai era în zona locuinței persoanei păgubite.,"Reprezentant IJJ Buzău, reprezentant UAT Nehoiu, gestionar FC 31 Colți",COLTI 31,,45.366000,26.337010,alungare,swapped,1,
,Brașov,SĂCELE,Altele,,Raport nr 3/20.03.2024 al UAT Sacele cu ocazia activitatii de monitorizare in vederea capturarii unui exemplar de urs care apare repetat în curtea Spitalului Municipal Săcele.,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,45.6177238841,25.6988969146,altele,,,
,Brașov,SĂCELE,Altele,,Raport nr.4/21.03.2024 intocmit de echipa de interventie constituita la nivelul UAT Sacele.S-a monitorizat cusca in vederea capturarii unui exemplar de urs la Spitalul Municipal Sacele.,"Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,45.6177238841,25.6988969146,altele,,,
,Brașov,SĂCELE,Altele,,"Raport nr 5/22.03.2024 _UAT Sacele. Echipa a monitorizat cusca amplasată în curtea Spitalului Municipal Săcele. Ursul a venit în jurul orei 23,50 la cușca. A stat circa 30 min în zonă, apoi fiind speriat de un autovehicul în jurul orei 24,30 a fugit în pădure.","Reprezentant UAT, reprezentant Jandarmerie, medic veterinar, reprezentant gestionar fond cinegetic",,,45.6177238841,25.6988969146,altele,,,
,Brașov,SĂCELE,Altele,,"Raport nr.6 din 25.03.2024 intocmit de echipa de interventie constituita la nivelul UAT Sacele, în urma activității de monitorizare în vederea capturării unui exemplar de urs care apare repetat în curtea Spitalului Municipal Săcele","Reprezentant UAT, personal Jandarmerie, medic veterinar, personal gestionar fond cinegetic",,,45.6177238841,25.6988969146,altele,,,
2024-03-26,Prahova,IZVOARELE,Alungat,,"Urs de 4 ani aflat in curtea manastirii Crasna, echipa s-a deplasat la apel 112, ursul a fost indepartat","jandarmi, reprezentant UAT, reprezentant gestionar FC, medic veterinar",TELEAJEN 27,,45.295814,25.923528,alungare,swapped,3582/26.03.2024,
2024-03-25,Prahova,AZUGA,Alungat,Femela cu pui,"La apel 112, echipa s-a deplasat la Spitalul de Ortopedie Azuga, unde o ursoaica cu doi pui era in cautare de hrana si care a fost indepartata cu greutate cu semnale acustice si luminoase","jandarmi, primar, reprezentant gestionar FC, medic veterinar",AZUGA 26,,45.426320,25.554250,alungare,swapped,4645/25.03.2024,
2024-03-26,Brașov,ZĂRNEŞTI,Alungat,Femela cu pui,"Alungare ursoaica cu 2 pui din zona Plaiul Foii Zărnești. In vederea alungării au fost folosite  petarde pentru intervenție, însă exemplarele au revenit in zonă.S-a organizat o echipă de alungare formată din reprezentanti ai AV Bârsa.","Reprezentant primarie, reprezentant IJJ Brasov, reprezentant GFC, medic veterinar",BARSA 31,,45.562538,25.193689,alungare,,3/26.03.2024,
2024-03-26,Harghita,SÂNDOMINIC,Alungat,Femela cu pui,"În urma apelului la nr. 112 echipa de intervetie a procedat la alungarea unei fele de urs cu 3 pui din intravilanul localitaţii, cu ajutorul focurilor de armă trase în aer.","Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc.",BALAN 15,,46.604890,25.804880,alungare,,1907/26.03.2024,
2023-09-22,Bihor,SÂNMARTIN,Împușcare,Femela cu pui,"Echipa de interventie a fost convocata in urma unui accident rutier prin care femela de urs a suferit traumatisme majore, incompatibile cu viata. Medicul veterinar a decis înpuscarea femelei de urs. Puii din anul trecut au fugit, au fost cautati dar nu au fost gasiti.","Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",,,47.0072559085,21.974176764,alungare,,,
2023-09-22,Bihor,SÂNMARTIN,Împușcare,Femela cu pui,"Echipa de interventie a fost convocata in urma unui accident rutier prin care femela de urs a suferit traumatisme majore, incompatibile cu viata. Medicul veterinar a decis înpuscarea femelei de urs. Puii din anul trecut au fugit, au fost cautati dar nu au fost gasiti.","Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",SANMARTIN 24,,46.245550,25.937770,impuscare,,576/22.09.2023,
,Vrancea,SOVEJA,Alungat,,atac al unui exemplar din specia urs (Ursus arctos) asupra unei bovine,"reprezentant UAT, personal din cadrul IJJ Vrancea, reprezentant gestionar fond cinegetic, medic veterinar imputernicit, reprezentant Poliție",,,45.999730799,26.6520613356,alungare,,1412,
,Brașov,SĂCELE,Altele,,Activitate de monitorizare în vederea capturării unui exemplar de urs in zona  spitalului municipal Săcele.,"Personal Jandarmerie, Reprezentant UAT, Personal GFC, medic veterinar",,,45.6177238841,25.6988969146,altele,,,
,Brașov,SĂCELE,Altele,,Activitate de monitorizare în vederea capturării unui exemplar de urs in zona spitalului municipal Săcele.,"Personal Jandarmerie, Reprezentant UAT, Personal GFC, medic veterinar",,,45.6177238841,25.6988969146,altele,,,
2024-04-03,Brașov,ZĂRNEŞTI,Relocat,Femela cu pui,"Capturare  și relocare. S-a acționat prin prinderea exemplarelor cu ajutorul capcanei, s-a tranchilizat și s-au efectuat masurătorile necesare.. S-au prelevat probe de păr pentru analize, iar exemplarele au fost relocate pe FC 31 Bârsa la cca 35 km de locul capturării.","Personal Jandarmerie, Reprezentant UAT, Personal GFC, medic veterinar",BARSA 31,,45.644956,25.168183,relocare,,4/03.04.2024,Exemplarele capturate prezentau crotalii de culoare galbena fara serie sau cipuri
2023-04-08,Prahova,SLĂNIC,Alungat,Femela cu pui,"Femela de circa 7 ani cu un pui, care a ucis o bovina, a fost alungata cu mijloace acustice","jandarmi, reprezentant UAT, gestionar FC, medic veterinar",PALTINET 35,,45.211328,25.950847,alungare,swapped,3784/08.04.2023,
,Vrancea,SOVEJA,Alungat,,alungare după uciderea unei bovine,"reprezentant UAT, personal din cadrul IJJ Vrancea, reprezentant Poliție, reprezentant gestionar fond cinegetic, medic veterinar imputernicit",DRAGOMIRNA 22,,45.999730799,26.6520613356,alungare,,1588,
,Bistrița-Năsăud,BISTRIŢA,Alungat,,"interventie de alungare urs in zona Viisoara, Calea Clujului, Str.Libertatii, Calea Dejului","Pl.Adj. Sef , Viceprimar Oraș Bistrița , medic veterinar, reprezentant al gestionarului fc nr.24 Cusma",CUSMA 24,,47.1320012176,24.4935924194,alungare,,,
2024-04-17,Gorj,POLOVRAGI,Alungat,Femela,"Exemplarul a fost vazut de persoana care a apelat 112 în apropierea gospodăriei la limita proprietatii.Reprezentanti jandarmeriei, ai fondului cinegetic, primarul comunei si sef SVSU Polovragi au produs semnale acustice cu ajutorul sirenei, claxoanelorsi semnalelor luminoase.","Reprezentant jandarmerie, reprezentant UAT Polovragi, personal tehnic ACV Spartacus, medic veterinar",OLTET 14,,45.1746745775,23.8050557383,alungare,stereo70,4050 din 17.04.2024,
2024-04-17,Gorj,POLOVRAGI,Alungat,,"In data de 17.04.2024 ora 00,35 jandarmeria a fost solicitata sa se deplasaze pe stada Scarita unde un urs a atacat 5 capre . Am verificat imprejurimile din zona gospodariei atacate si s-au folosit mijloace acustice , luminoase pentru a speria animalul.","Reprezentant jandarmerie, reprezentant UAT,personal tehnic, medic veterinar",OLTET 14,,45.1746745775,23.8050557383,alungare,stereo70,3973 din 17.04.2024,
2024-04-22,Prahova,VĂLENII DE MUNTE,Alungat,,"La sosiea echipei, ursul nu mai era la fata locului, s-a monitorizat zona, s-au folosit mijloace acustice si luminoase pentru alungare","jandarmi, reprezentant UAT, gestionar FC, medic veterinar",CAZACU 34,,45.199285,26.020526,alungare,swapped,7161/22.04.2024,
2024-04-19,Gorj,POLOVRAGI,Alungat,Femela cu pui,"Exemplarul a fost vazut in apropierea gospodariei, iar cei doi pui au fost observati in punctul rampa in timp de ce hraneau din lesurile dezgropate ale unor animale.Reprezentantii jandarmeriei, reprezentanti fondului cinegetic, primarul au produs semnale acustice cu ajutorul sirenei, claxoanelor si luminoase.","Reprezentatnt jandarmerie, reprezentant UAT , personal tehnic ACV Spartacus",OLTET 14,,45.1746745775,23.8050557383,alungare,stereo70,4086 din 19.04.2024,
,Argeș,AREFU,Alungat,Femela cu pui,Echipa de intervenție a identificat la fața locului două exemplare urs care au fost îndepartate prin semnale acustice,"Jandarmerie, primărie",AREFU 5,,45.438484,24.618401,alungare,,,
,Buzău,NEHOIU,Altele,,"Apel 112 ,  privind  prezența unei ursoaice cu pui pe drum  in com Mlăjet. Oras Nehoiu",IJJ. UAT,COLTI 31,,45.4194011019,26.3026981761,alungare,,5049,
2024-04-22,Prahova,MĂNECIU,Alungat,,"La sosirea echipei, ursul nu mai era la fata locului, a omorat 4 oi si un cocos in gospodarie, a venit de mai multe ori,, zona a fost monitorizata, s-au folosit mijloace acustice si luminoase","jandarmi, primar, gestionar FC, medic veterinar",TELEAJEN 27,,45.293913,25.998236,alungare,swapped,6556/22.04.2024,
2024-04-22,Argeș,AREFU,Alungat,Femela cu pui,"Ca urmare a unui apel la numarul de urgenta 112, echipa de interventie s-a deplasat ]n zona hotelului posada, DN 7C, km 64, unde a constatat ca o persoana de sex feminin a fost muscata de urs in timp de facea o fotografie  din masina cu geamul deschis. ursul nu se afla in zona. persoana ranita a primit ingrijirile medicale necesare.","Jandarmerie, Primarie, Garda Forestiera Ploiesti",AREFU 5,,45.215358,24.381038,alungare,swapped,2 din 22.04.2024 ora 15.55,
2024-01-16,Mureș,LIVEZENI,Alungat,Femela,"Femela de urs cu 3 pui alungat din intravilanul comunei Livezeni, str Sportivilor, nr.32 A, jud Mures.  Ursii au rupt gardul si au ravasit tomberoanele.","Primar, viceprimar, IJJ Mures, reprezentati asociatia de vanatoare, medic veterinar",COCOS 17,,46.542495,24.662364,alungare,,552/16.01.2024,
2024-01-16,Mureș,LIVEZENI,Alungat,Femela cu pui,"Alungare femela de urs cu 3 pui din intravilanul comunei Livezeni, str Padurii, nr. 99 , jud Mures.","Primar, viceprimar, IJJ Mures, reprezentat asociatie de vanatoare, medic veterinar",COCOS 17,,46.545547,24.634006,alungare,,107/16.01.2024,
2024-03-11,Mureș,SÂNPAUL,Alungat,Mascul,"Alungare un exemplar de urs din intravilanul loc. Valea Izvoarelor, com Sanpaul , jud Mures","Primar, Jandarmerie, reprezentanti asociatie de vanatoare",GIULUS 2,,46.130346,24.383338,alungare,,1065/11.03.2024,
2024-03-11,Mureș,SÂNPAUL,Alungat,,"Urs alungat din intravilanul loc Valea Izvoarelor, com Sanpaul, jud Mures","Primar, IJJ Mures, reprezentanti asociatie vanatoare, medic veterinar",GIULUS 2,,46.430346,24.393338,alungare,,1065/11.03.2024,
2024-03-13,Mureș,SÂNPAUL,Alungat,Mascul,"Alungare a 2 exemplare de ursi din intravilanul loc Valea Izvoarelor, com Sanpaul, jud Mures","Primar, IJJ Mures,  reprezentantii asociatie vanatoare,",GIULUS 2,,46.430346,24.383338,alungare,,1165/13.03.2024,
2024-03-28,Mureș,MIERCUREA NIRAJULUI,Alungat,Femela cu pui,"Alungare ursoaica cu 3 pui din intravilanul ors Miercurea Nirajului, str Marton Aron, jud Mures. Ursoaica a atacat  si o persoana.","Reprezentant primarie, IJJ Mures, reprezentanti asociatie de vanatoare, medic veterinar",NIRAJ 42,,46.537662,24.815110,alungare,,294828.03.2024,
2024-04-22,Harghita,SÂNDOMINIC,Alungat,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii prin mijloace acustice si luminoase.,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc.",BALAN 15,,46.602977,25.803084,alungare,,24781/22.04.2024,
2024-04-22,Harghita,SÂNDOMINIC,Alungat,,Echipa de interventie a fost convocata din cauza unui exemplar de urs care a intrat in localitate. Pana la sosirea personalului ursul s-a retras in padure.,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc.",BALAN 15,,46.605997,25.804549,alungare,,2479/22.04.2024,
,Buzău,NEHOIU,Altele,,Apel 112 prezenta urs pe strada intrare in sat Chirlesti Nehoiu,"IJJ, UAT",VALEA NEHOIULUI 32,,45.4194011019,26.3026981761,alungare,,5218,
,Buzău,NEHOIU,Alungat,,"Prin apel 112 a fost semnalata prezenta unui urs in satul Valea Nehoiului, mergand pe DN 10. Nu au fost produse pagube materiale.  echipa de interventie a parcurs la alungarea ursului prin semnale sonore.","Reprezentantul UAT Nehoiu, reprezentant IJJ Buzau, proprietar",VALEA NEHOIULUI 32,,45.429900,26.283378,alungare,swapped,4,
,Argeș,LEREŞTI,Alungat,,Ca urmare a apelului telefonic echipa de intervenție nu a găsit ursul la fața locului. s-au executat patrulări.,"Jandarmerie, Primărie, Gestionar fond cinegetic",RAUL TARGULUI 18,,45.345042,25.064964,alungare,swapped,,
,Vrancea,CÂMPURI,Alungat,,prezenta  urs (femela si  5 -cinci -pui),"reprezentant UAT, personal din cadrul IJJ Vrancea, reprezentant gestionar fond cinegetic, medic veterinar imputernicit",,,46.0153513235,26.788018439,alungare,,2083,
,Buzău,NEHOIU,Alungat,,"A fost semnalată prezenta unui urs in satul Chirlesti, pe DN 10. Echipa d einterventie a alungat ursul prin semnale sonore si luminoase. Nu au fost pagube.","Reprezentant IJJ Buzău, reprezentant UAT Nehoiu",PATARLAGELE 30,,45.354900,26.343400,alungare,swapped,3,
,Buzău,NEHOIU,Alungat,,"A fost semnalata prezenta unui urs pe drum, in satul Mlajet. Nu sunt pagube.","Reprezentant UAT Nehoiu, reprezentant IJJ Buzau",PATARLAGELE 30,,45.360778,26.343537,alungare,swapped,5,
,Buzău,NEHOIU,Alungat,,"In urma apelului 112, s-a semnalat prezenta unui urs, si s-a deplasat echipa de interventie in satul Chirlesti, S-a efectuat alungarea acestuia. Nu au fost pagube.","Reprezentant UAT Nehioiu, reprezentant IJJ Buzau",PATARLAGELE 30,,45.359173,26.332514,alungare,swapped,6,
,Buzău,NEHOIU,Alungat,,"A fost semnalata prezenta unei ursoaicei cu pui in satul Chirlesti, DN 10. S-a parcurs la alungarea acestora.","Reprezentant IJJ Buzau, reprezentant primarie oraș Nehoiu",PATARLAGELE 30,,45.358590,26.333133,alungare,swapped,7,
2024-05-02,Brașov,ZĂRNEŞTI,Alungat,Femela cu pui,Alungare ursoaica cu 2 pui din zona Plaiul Foii Zărnești. In vederea alungării au fost folosite petarde pentru intervenție.,"Personal Jandarmerie, Reprezentant UAT, Personal GFC, medic veterinar",BARSA 31,,45.644956,25.168483,alungare,,5/02.05.2024,
2024-05-07,Buzău,NEHOIU,Alungat,,Apel 112 semnalează prezenta unei ursoaice cu pui in gradina unei locuinte sat Chirlesti Nehoiu,"IJJ, UAT, AJVPS Buzău",PATARLAGELE 30,,45.859442,26.332923,alungare,swapped,5547/07.05.2024,
2024-04-25,Alba,ALBA IULIA,Eutanasiat,Mascul,"Un exemplar din specia urs, de aproximativ 2 ani, ranit in urma unui accident de circulatie, a fost gasit in locul numit La ciresi, langa Autostrada A1, Oarda de Jos, mun. Alba Iulia. Deoarece nu se mai putea deplasa, avand numeroase leziuni la nivelul membrelor si bazinului, medicul veterinar a luat decizia impuscarii acestuia.","Reprezentant Jandarmerie, UAT, Personal gestionar, medic veterinar",OARDA 37,,46.029394,23.581649,eutanasiere,,50713/ 25.04.2024,
,Gorj,POLOVRAGI,Alungat,Femela cu pui,In spatele casei langa gard a fost observat un pui de urs care a fost indepartat prn mijloace acustice,"Reprezentant Jandarmerie, reprezentant UAT Polovragi, personal tehnic ACV Spartacus,",OLTET 14,,45.1746745775,23.8050557383,alungare,stereo70,4520,
2024-05-07,Prahova,MĂNECIU,Alungat,,"Urs aflat in curtea unei locuinte, a distrus gardul si un perete al saivanului, incercand sa ajunga la animale, a fost alungat","jandarmi, primar, gestionar FC, medic veterinar",TELEAJEN 27,,45.314310,25.984757,alungare,swapped,7230/07.05.2024,
2024-05-08,Prahova,ALUNIŞ,Alungat,Mascul,In urma apelului la 112 s-a facut actiune de alungare pentru un urs cu varsta de circa de 9 ani,"jandarmi, primar, gestionar FC, medic veterinar",PALTINET 35,,45.205651,25.863474,alungare,swapped,3147/08.05.2024,
2024-05-03,Harghita,AVRĂMEŞTI,Alungat,Femela cu pui,Echipa de interventie a efectuat alungarea unuei femele de urs cu doi pui mari din intravilanul localitatii prin mijloace acustice si luminoase.,"Reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",TARCESTI 42,,46.335562,25.010982,alungare,,2715/03.05.2024,
2024-05-05,Harghita,AVRĂMEŞTI,Alungat,Femela cu pui,Echipa de interventie a efectuat alungarea femelei de urs cu doi pui  din intravilanul localitatii prin mijloace acustice si luminoase.,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",TARCESTI 42,,46.337642,25.014289,alungare,,2720/05.05.2024,
2024-05-07,Harghita,AVRĂMEŞTI,Împușcare,Femela cu pui,"Ún urma apelului la nr. 112 echipa de interventie a incercat alungarea din intravilan a femelei de urs cu doi pui mari. Animalul a rectionat agresiv, nu s-a retras in urma focurilor de avertisment, a atacat personalul. Medicului veterinar nu a reusit tranchiliza animalul, motiv din care s-a decis extragerea ei prin impuscare.","Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",,,46.3355464307,25.0102498939,alungare,,,
2024-05-07,Harghita,AVRĂMEŞTI,Împușcare,Femela cu pui,"Ún urma apelului la nr. 112 echipa de interventie a incercat alungarea din intravilan a femelei de urs cu doi pui mari. Animalul a rectionat agresiv, nu s-a retras in urma focurilor de avertisment, a atacat personalul. Medicului veterinar nu a reusit tranchiliza animalul, motiv din care s-a decis extragerea ei prin impuscare.","Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",TARCESTI 42,,46.340225,25.340225,impuscare,,2738/07.05.2024,
2024-04-26,Bistrița-Năsăud,BISTRIŢA,Alungat,Mascul,"S-a verificat zona, dar nu s-a constatat prezența ursului în apropierea imobilelor","reprezentant IJJ BN,  viceprimar UAT Bistrița, reprezentant OSM Bistrita RA, medic  veterinar",DUMITRA 22,,47.1320012176,24.4935924194,alungare,,1065/26.04.2024,
2024-05-15,Prahova,SINAIA,Alungat,Mascul,"Exemplarul de urs a intrat in gospodarie si a provocat pagube materiale, gard rupt si gradina distrusa, a provocat panica, a fost alungat in zona impadurita si este monitorizata zona","Jandarmerie, viceprimar, personal GFC, medic veterinar",SINAIA 25,,45.364526,25.545672,alungare,swapped,12313/15.05.2024,
,Argeș,LEREŞTI,Alungat,,Dupa apel telefonic echipa de interventie s-a deplasat în satul Pojorâta unde se semnalase prezența a doi urși. La sosirea echipei cei doi urși fuseseră alungați de localnici prin strigăte.,"Jandarmerie, primarie, Gestionar fond cinegetic",RAUL TARGULUI 18,,45.446567,25.006242,alungare,swapped,,
2024-05-17,Prahova,SINAIA,Alungat,Mascul,"Urs de 3 ani care intra in gospodarii si nu pleaca in prezenta omului, a fost alungat in padure cu mijloace acustice si luminoase, s-a montat cusca, zona este monitorizata, cetatenii au fost instruiti sa nu il hraneasca si sa nu se apropie de animal","jandarmi, viceprimar, gestionar FC, medic veterinar",SINAIA 25,,45.362876,25.547560,alungare,swapped,12551/17.05.2024,
2024-05-20,Buzău,NEHOIU,Alungat,,Apel 112 prezenta urs în gtadina unei gospodarii sat Curmatura Oras Nehoiu,"IJJ, UAT Nehoiu , AJVPS Buzau",VALEA NEHOIULUI 32,,45.383570,26.370960,alungare,swapped,6164/20.05.2024,
2024-05-14,Bacău,CĂIUŢI,Alungat,,A fost alungat un exemplar de urs cu ajutorul mijloacelor acustice si luminoase. Au fost folosite 2 petarde.,"Personal Jandarmerie, Reprezentant UAT, Personal tehnic gestionar.",BALCA 50,,46.1805695981,26.9257131065,alungare,,5392/14.05.2024,
2024-05-15,Bacău,CĂIUŢI,Alungat,,A fost alungat un exemplar de urs.,"Personal Jandarmerie , Reprezentant  UAT,   Personal tehnic gestionar , Medic veterinar împuternicit.",BALCA 50,,46.1805695981,26.9257131065,alungare,,5426/15.05.2024,
,Vâlcea,RÂMNICU VÂLCEA,Alungat,Femela cu pui,"A fost semnalat prezenta unei ursoaice cu pui pe str. Fântânii, zona Goranu, Rm Vâlcea. S-au prezentat echipele din cadrul Insp. de Jandarmi Vâlcea, Poliția Locală, reprez. AVPS Vâlcea și reprez. al Primăriei Mun. Rm. Vâlcea. În urma verificării făcute nu a fost găsit animalul sălbatic cu puii, drept urmare s-au luat măsuri de alungare prin semnale acustice.","Personal jandarmerie, reprezentant UAT , personal tehnic Gestionar",GORANU 16,,45.095403,24.386518,alungare,,21080,
,Vâlcea,RÂMNICU VÂLCEA,Alungat,,"În urma apelurilor preluate de serv de urg. 112, direcționate către Jandarmeria Vâlcea, prin care au fost semnalate prezența unui urs în zona Goranu, str. Fântânii. La fața locului s-au prezentat Jandarmeria, Poliția Locală, ISU, AJVPS  Vâlcea și reprez. al Primăriei Rm vâlcea. În urma verificării făcute în zona nu a fost găsit animalul sălbatic(urs), drept urmare s-au luat măsuri de alungare prin semnale acustice.","Personal Jandarmerie, reprezentant UAT Rm Valcea, personal tehnic gestionar, apelant",GORANU 16,,45.1062558963,24.3710774894,alungare,,21309,
2024-05-20,Hunedoara,BRETEA ROMÂNĂ,Alungat,,"Apel telefonic la 112 prin care se semnala prezența unui exemplar de urs în grădina unui localnic din satul Ocolișu Mare nr. 63 din com. Bretea Română. La fața locului s-a deplasat echipa de interventie, procedând la alungarea animalului. S-a considerat că nivelul de risc a fost unul mediu.",,SILVAS 48,,45.685857,22.938573,alungare,,4596/20.05.2024,
2024-05-02,Hunedoara,LUPENI,Alungat,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii prin mijloace acustice si luminoase.,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",DEALU 43,,46.357500,25.215500,alungare,,1/02.05.2024,
2024-05-02,Hunedoara,LUPENI,Alungat,Femela cu pui,Echipa de interventie a fost convocata si a deplasat la Satu Mic din cauza unei femele de urs cu un pui care a aparut in intravilan. Pana au ajuns in fata locului animalele au fost deja alungate de localnici.,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",TARCESTI 42,,46.734100,25.195800,alungare,,2/02.05.2024,
2024-05-06,Hunedoara,LUPENI,Alungat,,Echipa de interventie a efectuat alungarea unui exemplar de urs din intravilanul localitatii prin mijloace acustice si luminoase. Ursul a revenit de doua ori pana s-a reusit alungarea.,"Personal jandarmerie, reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",TARCESTI 42,,46.382200,25.193300,alungare,,3/06.05.2024,
2024-05-09,Hunedoara,LUPENI,Alungat,,Echipa de interventie a efectuat alungarea unui exemplar de urs care a revenit in intravilanul localitatii prin mijloace acustice si luminoase.,"Reprezentant UAT, personal tehnic gestionar fc., medic veterinar imputernicit",TARCESTI 42,,46.382200,25.193300,alungare,,4/09.05.2024,
